sexe,prenom_usuel,xxxx-xxxx,1891-1900,1901-1910,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2020,total
1,Amalric,32,0,0,0,0,0,0,0,0,0,35,38,16,0,121
1,Aman,50,0,6,0,0,3,0,0,0,0,9,14,51,66,199
1,Amance,28,0,0,0,0,0,0,0,0,0,0,0,7,0,35
1,Amancio,23,0,0,0,0,0,0,0,0,6,0,0,0,0,29
1,Amand,45,80,933,732,755,515,271,166,39,9,9,4,19,7,3584
1,Amandin,32,0,0,0,0,0,0,0,0,0,0,3,7,0,42
1,Amandio,34,0,0,0,0,0,0,0,31,54,5,0,0,3,127
1,Amando,23,0,0,0,0,0,0,0,0,0,0,0,0,0,23
1,Amane,22,0,0,0,0,0,0,0,0,0,0,3,25,51,101
1,Amani,21,0,0,0,0,0,0,0,0,0,0,0,26,67,114
1,Amans,49,7,62,19,23,7,0,0,0,0,0,0,0,3,170
1,Amant,26,0,15,3,0,3,0,0,0,0,0,0,0,0,47
1,Amany,14,0,0,0,0,0,0,0,0,0,0,0,3,4,21
1,Amar,15,0,0,0,12,52,232,766,1638,1207,891,489,517,540,6359
1,Amara,18,0,0,0,0,0,0,9,26,62,128,109,195,235,782
1,Amari,23,0,0,0,0,0,0,0,0,0,0,0,0,4,27
1,Amarin,17,0,0,0,0,0,0,0,0,0,0,0,0,10,27
1,Amaro,33,0,0,0,0,0,0,0,0,10,3,0,0,3,49
1,Amaru,19,0,0,0,0,0,0,0,0,0,0,0,15,16,50
1,Amary,19,0,0,0,0,0,0,0,0,0,0,0,7,3,29
1,Amateur,15,0,11,0,0,0,0,0,0,0,0,0,0,0,26
1,Amath,30,0,0,0,0,0,0,0,0,0,4,3,7,14,58
1,Amauri,22,0,0,0,0,0,0,0,0,0,0,0,6,13,41
1,Amaury,10,4,46,37,59,56,64,88,286,1128,3078,4237,5075,4246,18414
1,Amayas,10,0,0,0,0,0,0,0,0,0,0,0,64,161,235
1,Amayes,7,0,0,0,0,0,0,0,0,0,0,3,29,46,85
1,Amazigh,22,0,0,0,0,0,0,0,0,0,0,3,21,32,78
